words,phrase1,phrase2,sent1,sent2,quest1,quest2,inf1,inf2,miss_sent1,miss_sent2
дед,старый дед,любимый дед,Дед приехал на дачу,Старый дед рассказывал внукам истории,Кто приехал на дачу?,Кто рассказывал истории?,Дед приехать на дача,Старый дед рассказывать внуки истории,___ приехал на дачу,Старый ___ рассказывал внукам истории
суп,вкусный суп,куриный суп,На обед был суп,Мама приготовила вкусный суп,Что было на обед?,Что приготовила мама?,На обед быть суп,Мама приготовить вкусный суп,На обед был ___,Мама приготовила вкусный ___
кот,белый кот,грязный кот,Кот поцарапал хозяина,Дорогу перешел белый кот,Кто поцарапал хозяина?,Кто перешел дорогу?,Кот поцарапать хозяин,Дорога перейти белый кот,___ поцарапал хозяина,Дорогу перешел белый ___
шум,белый шум,шум моря,На море слышен шум волн,Белый шум успокаивает детей,Что слышно на море?,Что успокаивает детей?,На море слышать шум волна,None,На море слышен ___ волн,Белый ___ успокаивает детей
май,теплый май,ласковый май,Май -- последний месяц весны,Весной все ждут теплый май,Какой месяц последний?,Что все ждут весной?,None,None,___ -- последний месяц весны,Весной все ждут теплый ___
нос,грязный нос,острый нос,Футболист сломал нос,У мальчика грязный нос от мороженого,Что сломал футболист?,Что у мальчика грязное?,Футболист сломать нос,None,Футболист сломал ___,У мальчика грязный ___ от мороженого
сад,цветочный сад,детский сад,Мама отвела сына в сад,Цветочный сад украшает дом,Куда мама отвела сына?,Что украшает дом?,Мама отвести сын в сад,None,Мама отвела сына в ___,Цветочный ___ украшает дом
лук,красный лук,жареный лук,Бабушка посадила лук,Красный лук подорожал в магазине,Что паосадила бабушка?,Что подорожало в магазине?,Бабушка посадить лук,Красный лук подорожать в магазин,Бабушка посадила ___,Красный ___ подорожал в магазине
сыр,дорогой сыр,вкусный сыр,Папа купил сыр,Дорогой сыр очень вкусный,Что купил папа?,Что дорогое очень вкусное?,Папа купить сыр,None,Папа купил ___,Дорогой ___ очень вкусный
век,прошлый век,великолепный век,Век пролетел незаметно,Прошлый век богат на исторические события,Что пролетело незаметно?,Что богато на исторические события?,Век пролететь незаметно,None,___ пролетел незаметно,Прошлый ___ богат на исторические события
лён,светлый лён,тонкий лён,Лён сильно мнется,На рынке продается светлый лён,Что сильно мнется?,Что продается на рынке?,None,None,Лён сильно мнется,На рынке продается светлый ___
рот,грязный рот,чистый рот,Мальчик забыл помыть рот,После еды у детей грязный рот,Что забыл помыть мальчик?,Что у детей грязное после еды?,Мальчик забыть помвть рот после еда,None,Мальчик забыл помыть ___,После еды у детей грязный ___
ряд,последний ряд,первый ряд,Последний ряд был занят,Свободен только последний ряд,Что было занято?,Что последнее состалось свободно?,Последний ряд быть занят,None,Последний ___ был занят,Свободен только последний ___
газ,опасный газ,летучий газ,Газ наполнил комнату ,Опасный газ требует осторожности,Что наполнило комнату?,Что требует осторожности?,Газ наполнить комната,None,___ наполнил комнату ,Опасный ___ требует осторожности
зуб,молочный зуб,больной зуб,Мужчина вылечил зуб,У ребенка выпал молочный зуб,Что вылечил мужчина?,Что выпало у ребенка?,Мужчина вылечить зуб,У ребенка выпасть молочный зуб,Мужчина вылечил ___,У ребенка выпал молочный ___
ход,опасный ход,ход конем,Игрок сделал неверный ход,Он сделал опасный ход в шахматах,Что сделал игрок?,Что он сделал опасного?,Игрок сделать неверный ход,Он сделать опасный ход в шахматы,Игрок сделал неверный ___,Он сделал опасный ___ в шахматах
дух,злой дух,веселый дух,Тренер поднял боевой дух,В дом проник злой дух,Что поднял тренер?,Кто проник в дом?,Тренер поднять боевой дух,В дом проникнуть злой дух,Тренер поднял боевой ___,В дом проник злой ___
шок,сильный шок,болевой шок,Мальчик испытал шок от удара,Женщина испытала сильный шок,Что испытал мальчик от удара?,Что испытала женщина?,Мальчик испытать шок от удара,Женщина испытать сильный шок,Мальчик испытал ___ от удара,Женщина испытала сильный ___
бок,правый бок,ушибленный бок,Ребенок лег на бок,После бега болит правый бок,На что лег ребенок?,Что болит после бега?,Ребенок лечь на бок,None,Ребенок лег на ___,После бега болит правый ___
сок,вкусный сок,яблочный сок,В магазине продается яблочный сок,Девочка пьет вкусный сок,Что продается в магазие?,Что пьет девочка?,None,None,В магазине продается яблочный ___,Девочка пьет вкусный ___
род,женский род,человеческий род,Важно продолжить человеческий род,Женский род учат определять в начальной школе,Что важно продолжить?,Что учат определять в анчальной школе?,None,None,Важно продолжить человеческий ___,Женский ___ учат определять в начальной школе
мёд,сладкий мёд,дорогой мёд,Мёд -- аллергический продукт,Сладкий мёд добавляют в чай,Какой продукт аллергический?,Что добавляют в чай?,None,None,___ -- аллергический продукт,Сладкий ___ добавляют в чай
нож,острый нож,дорогой нож,Шеф достал нож,Мальчик уронил острый нож,Что достал шеф?,Что уронил мальчик?,Шеф достать нож,Мальчик уронить острый нож,Шеф достал ___,Мальчик уронил острый ___
вуз,престижный вуз,известный вуз,Студенты поступают в вуз,Престижный вуз ценится студентами,Куда поступают студенты?,Что ценится студентами?,None,None,Студенты поступают в ___,Престижный ___ ценится студентами
суд,арбитражный суд,верховный суд,Юрист направил документы в суд,Арбитражный суд вынес приговор,Куда юрист направил документы?,Кто вынес приговор?,Юрист направить документы в вуз,Арбитражный суд вынести приговор,Юрист направил документы в ___,Арбитражный ___ вынес приговор
лев,грозный лев,молодой лев,Лев напал на антилопу ,Грозный лев живет в пустыне,Кто напал на антилопу?,Кто лежит в пустыне,Лев напасть на антилопа,None,___ напал на антилопу ,Грозный ___ живет в пустыне
фон,светлый фон,виртуальный фон,Девочка включила музыку на фон,Фотограф использует светлый фон,На что девочка включила музыку,Что использует фотограф?,Девочка включить музыка на фон,None,Девочка включила музыку на ___,Фотограф использует светлый ___
жир,подкожный жир,свиной жир,Рыбий жир полезен для здоровья ,Мама срезала лишний жир у мяса,Что полезно для здоровья?,Что лишнего срезала мама у мяса?,None,Мама срезать лишний жир у мясо,Рыбий ___ полезен для здоровья ,Мама срезала лишний ___ у мяса
мат,спортивный мат,гимнастический мат,Дети разложили мат,Спортивный мат лежит в спортивном зале,Что разложили дети?,Что лежит в спортивном зале?,Дети раздожить мат,None,Дети разложили ___,Спортивный ___ лежит в спортивном зале
бар,шумный бар,популярный бар,В бар пришла компания,Отметить праздник мы пришли в шумный бар,Куда пришла компания?,Куда мы пришли отметить праздник?,В бар прийти компания,Отметить празник мы прийти в шумный бар,В ___ пришла компания,Отметить праздник мы пришли в шумный ___
лоб,широкий лоб,высокий лоб,Мужчина поцеловал невесту в лоб,У женщины широкий лоб,Кто поцеловал невесту в лоб?,Что у женщины широкое?,Мужчина поцеловать невеста в лоб,None,Мужчина поцеловал невесту в ___,У женщины широкий ___
шаг,широкий шаг,шаг навстречу,Мальчик сделал первый шаг,У мужчины широкий шаг,Кто сдела первый шаг?,Что у мужчины широкое?,Мальчик сделать первый шаг,None,Мальчик сделал первый ___,У мужчины широкий ___
том,том книги,тяжелый том,Учитель задал прочитать первый том,Мужчина купил новый том книги,Кто задал прочитать первый том?,Что нового купил мужчина?,Учитель задать прочитать первый том,Мужчина купить новый том книга,Учитель задал прочитать первый ___,Мужчина купил новый ___ книги
рак,морской рак,рак крови,Рак является смертельным заболеванием,Морской рак вылез на сушу,Что является смертельным заболеванием?,Кто вылез на сушу?,None,Морской рак вылезти на суша,___ является смертельным заболеванием,Морской ___ вылез на сушу
поп,главный поп,старый поп,Поп окрестил ребенка ,Главный поп приехал в церковь,Кто окрестил ребенка?,Кто приехал в церковь?,Поп окрестить ребенка,Главный поп приехать в церковь ,___ окрестил ребенка ,Главный ___ приехал в церковь
чек,длинный чек,электронный чек,На почту прислали чек,Продавец выдал длинный чек,Что прислали на почту?,Что выдал продавец?,На почта прислать чек,Продавец выдать длинный чек,На почту прислали ___,Продавец выдал длинный ___
шар,большой шар,прозрачный шар,На елку повесили шар,Мальчик бросил большой шар,Что повестили на елку?,Что бросил мальчик?,На елка повесить шар,Мальчик бросить большой шар,На елку повесили ___,Мальчик бросил большой ___
бой,тяжелый бой,страшный бой,Бой был проигран,У спортсмена был тяжелый бой,Что было проиграно?,Что было тяжелого у спортсмена?,Бой быть проигран,У спортсмен быть тяжелый бой,___ был проигран,У спортсмена был тяжелый ___
вес,лишний вес,вес тела ,Вес багажа превышал норму,Женщина пыталась сбросить лишний вес,Что превышало норму?,Что пыталась сбросить женщина?,Вес багаж превышать норма,Женщина пытаться сбросить лишний вес,___ багажа превышал норму,Женщина пыталась сбросить лишний ___
душ,горячий душ,бодрящий душ,Утром важно принять душ,Зимой хорошо принять горячий душ,Что важно принять утром?,Что хорошо принять зимой?,None,None,Утром важно принять ___,Зимой хорошо принять горячий ___
куб,красный куб,прозрачный куб,Под потолком висел синий куб,На столе лежал красный куб,Что висело под потолком?,Что лежало на столе?,Под потолок висеть синий куб,На стол лежать красный куб,Под потолком висел синий ___,На столе лежал красный ___
пар,горячий пар,белый пар,Из трубы бил пар,От супа идет горячий пар,Что било из трубы?,Что идет горячего от супа?,Из труба бить пар,None,Из трубы бил ___,От супа идет горячий ___
пес,игривый пес,старый пес,Пес побежал за мячом,Во дворе бегает игривый пес,Кто бежал за мячом?,Кто бегает во дворе?,Пес бежать за мяч,None,___ побежал за мячом,Во дворе бегает игривый ___
пот,липкий пот,холодный пот,Ее пробил холодный пот,После тренировки у него был липкий пот,Что его пробило?,Что было липкое аосле тренировки?,Её пробить холодный пот,После тренировка у него быть липкий пот,Ее пробил холодный ___,После тренировки у него был липкий ___
рай,цветочный рай,земной рай,Это место -- рай на земле,У бабушки на даче цветочный рай,Что это за место на земле?,Что у бабушки на даче цветочного?,None,None,Это место -- ___ на земле,У бабушки на даче цветочный ___
мяч,футбольный мяч,гимнастический мяч,Мяч попал в окно,На поле лежит футбольный мяч,Что попало в окно?,Что лежит на поле?,Мяч попасть в окно,None,___ попал в окно,На поле лежит футбольный ___
цех,швейный цех,кондитерский цех,В цех сложно устроится ,В городе закрылся швейный цех,Куда сложно устроится?,Что закрылось в городе?,None,None,В ___ сложно устроится ,В городе закрылся швейный ___
бык,дикий бык,молодой бык,Бык напал на пастуха,В лесу живет дикий бык,Кто напал на пастуха?,Кто живет в лесу?,Бык напасть на пастух,None,___ напал на пастуха,В лесу живет дикий ___
тон,небрежный тон,тон кожи,Тон кожи отличался от обычного,Директор использует небрежный тон,Что отличатеся от обычного?,Чо небрежного использует директор?,Тон кожи отличаться от обычный,None,___ кожи отличался от обычного,Директор использует небрежный ___
низ,низ живота,низ картины,Низ картины поразил художника,У мальчика болит низ живота,Что у картины поразило художника?,Какая часть живота болела?,Низ картины поразить художник,None,___ картины поразил художника,У мальчика болит ___ живота
бас,громкий бас,хриплый бас,На кухне раздался хриплый бас,У мужчины громкий бас,Что у мужчины громкого?,Что у мужчины громкого?,На кухня раздаться хриплый бас,None,На кухне раздался хриплый ___,У мужчины громкий ___
зам,строгий зам,новый зам,Зам попросил зайти в кабинет,На работу пришел строгий зам,Кто попросил зайти в кабинет?,Кто пришел на работу?,Зам попросить зайти в кабинет,На работа прийти строгий зам,___ попросил зайти в кабинет,На работу пришел строгий ___
шов,незаметный шов,косметичиский шов,Хирург наложил неаккуратный шов,Мама научила делать незаметный шов,Что наложил хирург?,Что научила делать мама?,Хирург наложить неаккуратный шов,Мама научить  делать незаметный шов,Хирург наложил неаккуратный ___,Мама научила делать незаметный ___
гол,красивый гол,случайный гол,Вратарь пропустил гол,Футболист забил красивый гол,Что пропустил вратарь?,Что забил футболист?,Вратарь пропустить гол,Футболист забить красивый гол,Вратарь пропустил ___,Футболист забил красивый ___
ник,смешной ник,сложный ник,Студент придумал себе ник,Девочка использует смешной ник,Что придумал себе студент?,Что смешного использует девочка?,Студент придумать себе ник,None,Студент придумал себе ___,Девочка использует смешной ___
лом,железный лом,тяжелый лом,Он использовал лом для открытия двери,На балконе лежит железный лом,Что использовалось для открытия двери?,Что железного лежит на балконе?,Он использовать лом для открытие дверь,None,Он использовал ___ для открытия двери,На балконе лежит железный ___
жук,майский жук,большой жук,Жук испугал ребенка,Майский жук залетел в окно,Что испугало ребенка?,Кто залетел в окно?,Жук испугать ребенок,Майский жук залететь в окно,___ испугал ребенка,Майский ___ залетел в окно
дуб,старый дуб,зеленый дуб,Дуб используется для производства шкафов,Старый дуб стоит в лесу,Что используется для производства шкафов?,Что стоит в лесу?,None,None,___ используется для производства шкафов,Старый ___ стоит в лесу
пуд,целый пуд,пуд картошки,Бабушка привезла пуд раков,Я купил целый пуд картошки,Сколько раков привезла бабушка?,Сколько картошки куплено?,Бабушка привезти пуд раки,Я купить целый пуд картошка,Бабушка привезла ___ раков,Я купил целый ___ картошки
мех,искусственный мех,лисий мех,Настоящий мех очень дорогой,Для изготовления используется искусственный мех,Что настоящее очень дорогое?,Что используется для изготовления?,None,None,Настоящий ___ очень дорогой,Для изготовления используется искусственный ___
хор,талантливый хор,женский хор,Наш хор занял первое место,На концерте выступает талантливый хор,Кто занял первое место?,Кто выступает на концерте?,Наш хор занять первый местое,None,Наш ___ занял первое место,На концерте выступает талантливый ___
код,компьютерный код,код домофона,Мальчик ввел код,Программист пишет компьютерный код,Что ввел мальчик?,Что пишет программист?,Мальчик ввести код,None,Мальчик ввел ___,Программист пишет компьютерный ___
лад,старый лад,гитарный лад,Ученик зажал лад на гитаре,Мужчина говорит на старый лад,Что зажал ученик?,На что старое говорит мужчина?,Ученик зажать лад на гитара,None,Ученик зажал ___ на гитаре,Мужчина говорит на старый ___
рог,олений рог,бараний рог,Мужчина подул в рог,В лесу мы нашли олений рог,Куда подул мужчина?,Что мы нашли в лесу от оленя?,Мужчина подуть в рог,В лес мы найти олений рог,Мужчина подул в ___,В лесу мы нашли олений ___
ток,электрический ток,слабый ток,Ток высокого разряда опасен,Электрический ток ударил мужчину,Что опасно?,Что ударило мужчину?,None,Электрический ток ударить мужчина,___ высокого разряда опасен,Электрический ___ ударил мужчину
вал,атлантический вал,земляной вал,Водяной вал обрушился на долину,Прибой разбивался об атлантический вал,Что обрушилось на долину?,Обо что разбивался прибой?,Водяной вал обрушиться на долина,Прибой разбиваться об атлантический вал,Водяной ___ обрушился на долину,Прибой разбивался об атлантический ___
раз,последний раз,первый раз,Первый раз был самый страшный,Последний раз я летал на самолете год назад,Что первое было самое страшное?,Когда последний ___ я летал на самолете?,Первый раз быть самый страшный,Последний раз я летать на самолет год назад,Первый ___ был самый страшный,Последний раз я летал на самолете год назад
